Name,Program,Speciality,Rating,Address,Street,Route,City,Site_Location,State,Country,Postal,Latitude,Longitude,Phone,Email,Website,URL
APM Employment Services,DES-Disability Management Service,All Client Types,2,"211 Springvale Rd, Springvale VIC 3171, Australia",211,Springvale Road,Greater Dandenong City,SPRINGVALE,VIC,Australia,3171,-37.9463228,145.1535777,(03) 9547 4770,apm4jobs@apm.net.au,https://apm.net.au,https://maps.google.com/?cid=5543569497019726901
APM Employment Services,DES-Disability Management Service,All Client Types,3,"Suite 7/36-42 Montclair Ave, Glen Waverley VIC 3150, Australia",36-42,Montclair Avenue,Monash City,GLEN WAVERLEY,VIC,Australia,3150,-37.8809786,145.1612903,(03) 9590 6884,apm4jobs@apm.net.au,https://apm.net.au,https://maps.google.com/?cid=8895811060618075673
APM Employment Services,DES-Disability Management Service,All Client Types,1,"2 Walker St, Dandenong VIC 3175, Australia",2,Walker Street,Greater Dandenong City,DANDENONG,VIC,Australia,3175,-37.9886302,145.2110174,(03) 9792 0470,apm4jobs@apm.net.au,https://apm.net.au,https://maps.google.com/?cid=5734496693920994840
APM Employment Services,DES-Disability Management Service,All Client Types,3,"Suite G01/43 Station Rd, Cheltenham VIC 3192, Australia",43,Station Road,Kingston City,CHELTENHAM,VIC,Australia,3192,-37.9671041,145.0579082,(03) 9585 8264,apm4jobs@apm.net.au,https://apm.net.au,https://maps.google.com/?cid=10014414528961357600
APM Employment Services,DES-Disability Management Service,All Client Types,3,"Ground Floor, G.02/277 Camberwell Rd, Camberwell VIC 3124, Australia",277,Camberwell Road,Boroondara City,CAMBERWELL,VIC,Australia,3124,-37.832293,145.058334,(03) 9882 8925,apm4jobs@apm.net.au,https://apm.net.au,https://maps.google.com/?cid=594884762652389069
APM Employment Services,DES-Disability Management Service,All Client Types,2,"9-11 Portman St, Oakleigh VIC 3166, Australia",9-11,Portman Street,Monash City,OAKLEIGH,VIC,Australia,3166,-37.89991440000001,145.0890916,(03) 9569 4927,apm4jobs@apm.net.au,https://apm.net.au,https://maps.google.com/?cid=11453817125495033597
APM Employment Services,DES-Disability Management Service,All Client Types,2,"9/30-31 Ellingworth Parade, Box Hill VIC 3128, Australia",30-31,Ellingworth Parade,Whitehorse City,BOX HILL,VIC,Australia,3128,-37.8209157,145.1262657,(03) 9898 2447,apm4jobs@apm.net.au,https://apm.net.au,https://maps.google.com/?cid=8210905345778840012
Atwork Australia Pty Ltd,DES-Disability Management Service,All Client Types,2,"Bayside Business Centre, 441 South Rd, Moorabbin VIC 3189, Australia",441,South Road,Glen Eira City,MOORABBIN,VIC,Australia,3189,-37.9330074,145.0367606,1300 080 856,contactDES@atworkaustralia.com.au,https://www.atwork.com/,https://maps.google.com/?cid=17085273874560156252
Atwork Australia Pty Ltd,DES-Disability Management Service,All Client Types,3,"1/85 Foster St, Dandenong VIC 3175, Australia",85,Foster Street,Greater Dandenong City,DANDENONG,VIC,Australia,3175,-37.98971299999999,145.2119826,1300 080 856,contactDES@atworkaustralia.com.au,https://www.atwork.com/,https://maps.google.com/?cid=2201992558825216636
Atwork Australia Pty Ltd,DES-Disability Management Service,All Client Types,2,"Level 3 Suite 301/9-11 Claremont St, South Yarra VIC 3141, Australia",9-11,Claremont Street,Stonnington City,PRAHRAN,VIC,Australia,3141,-37.8378594,144.9935117,1300 080 856,contactDES@atworkaustralia.com.au,https://www.atwork.com/,https://maps.google.com/?cid=16800752352316917902
Atwork Australia Pty Ltd,DES-Disability Management Service,All Client Types,1,"New Hope Community Care, 3 Springfield Rd, Blackburn VIC 3130, Australia",3,Springfield Road,Whitehorse City,BLACKBURN,VIC,Australia,3130,-37.8090486,145.1415585,1300 080 856,contactDES@atworkaustralia.com.au,https://www.atwork.com/,https://maps.google.com/?cid=14777132262937346662
Atwork Australia Pty Ltd,DES-Disability Management Service,All Client Types,New Site,"AMES Building Off G3 Gnd Flr, 30 - 32 Prospect St, Box Hill VIC 3128, Australia",30 - 32,Prospect Street,Whitehorse City,BOX HILL NORTH,VIC,Australia,3128,-37.817909,145.11728,1300 080 856,contactDES@atworkaustralia.com.au,https://www.atwork.com/,https://maps.google.com/?cid=17141605308129963092
Atwork Australia Pty Ltd,DES-Disability Management Service,Mental Health,3,"1/85 Foster St, Dandenong VIC 3175, Australia",85,Foster Street,Greater Dandenong City,DANDENONG,VIC,Australia,3175,-37.98971299999999,145.2119826,1300 080 856,contactDES@atworkaustralia.com.au,https://www.atwork.com/,https://maps.google.com/?cid=2201992558825216636
Atwork Australia Pty Ltd,DES-Disability Management Service,Mental Health,3,"AMES Building Off G3 Gnd Flr, 30 - 32 Prospect St, Box Hill VIC 3128, Australia",30 - 32,Prospect Street,Whitehorse City,BOX HILL,VIC,Australia,3128,-37.817909,145.11728,1300 080 856,contactDES@atworkaustralia.com.au,https://www.atwork.com/,https://maps.google.com/?cid=17141605308129963092
Atwork Australia Pty Ltd,DES-Disability Management Service,Mental Health,3,"Level 3 Suite 301/9-11 Claremont St, South Yarra VIC 3141, Australia",9-11,Claremont Street,Stonnington City,SOUTH YARRA,VIC,Australia,3141,-37.8378594,144.9935117,1300 080 856,contactDES@atworkaustralia.com.au,https://www.atwork.com/,https://maps.google.com/?cid=16800752352316917902
Atwork Australia Pty Ltd,DES-Disability Management Service,Mental Health,3,"30 Station Rd, Cheltenham VIC 3192, Australia",30,Station Road,Kingston City,CHELTENHAM,VIC,Australia,3192,-37.9673644,145.0572514,1300 080 856,contactDES@atworkaustralia.com.au,https://www.atwork.com/,https://maps.google.com/?cid=7522900563746011390
