Description,Title,State,Postcode,SiteCode,ContractType,SiteRating,StreamA,StreamB,StreamC,Specialisation,Location,Address,Phone,Latitude,Longitude,ServiceType,
"Job Centre Australia specialise in empowering people with a disability, illness or health condition to improve their circumstances through a range of training, support and employment opportunities under DES (Disability Employment Service) and NDIS (National Disability Insurance Scheme). We have over35 regional and metropolitan sites in NSW and QLD.",Job Centre Australia,NSW,2650,A300,DESA,3,,,,All Job Seekers,WAGGA WAGGA,8 Baylis Street,(02) 6921 8004,-35.11843901,147.36846607,,
"Job Centre Australia specialise in empowering people with a disability, illness or health condition to improve their circumstances through a range of training, support and employment opportunities under DES (Disability Employment Service) and NDIS (National Disability Insurance Scheme). We have over 35 regional and metropolitan sites in NSW and QLD.",Job Centre Australia,NSW,2720,A310,DESA,2,,,,All Job Seekers,TUMUT,Community Room - Tumut Library 169 Wynyard Street,(02) 6947 4040,-35.32075023,148.23250488,,
"Job Centre Australia specialise in empowering people with adisability, illness or health condition to improve their circumstances through a range of training, support and employment opportunities under DES (Disability Employment Service) and NDIS (National Disability Insurance Scheme). We have over35 regional and metropolitan sites in NSW and QLD.",Job Centre Australia,NSW,2590,A320,DESA,3,,,,All Job Seekers,COOTAMUNDRA,169a Parker Street,1800 466 046,-34.65198669,148.02275035,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3121,A421,DESA,2,,,,All Job Seekers,RICHMOND,Level 2 585-587 Victoria Street,1300 360 562,-37.81095142,145.00617329,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3000,A431,DESA,1,,,,All Job Seekers,MELBOURNE,Level 8 190 Queen Street,(03) 8506 5970,-37.81402804,144.96067979,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3810,A441,DESA,4,,,,All Job Seekers,PAKENHAM,Shop 5 11 John Street,1300 360 562,-38.07672499,145.48296909,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm
",Jobfind Centres Australia Pty Ltd,VIC,3805,A451,DESA,3,,,,All Job Seekers,NARRE WARREN,Suite 12 26 Verdun Drive,1300 360 562,-38.02499779,145.31536605,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3977,A461,DESA,3,,,,All Job Seekers,CRANBOURNE,178 Sladen Street,1300 360 562,-38.11356769,145.28442766,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3171,A471,DESA,3,,,,All Job Seekers,SPRINGVALE,336-338 Springvale Rd,1300 360 562,-37.95665088,145.15100084,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3166,A481,DESA,2,,,,All Job Seekers,OAKLEIGH,Level 3 20 Atherton Rd,1300 360 562,-37.89888088,145.08940741,,
