Description,Title,State,Postcode,SiteCode,ContractType,SiteRating,StreamA,StreamB,StreamC,Specialisation,Location,Address,Phone,Latitude,Longitude,ServiceType,
,Vision Australia Limited,ACT,2600,A230,DESB,2,,,,Blind and Vision Impaired,BARTON,Suite 1a 3 Sydney Avenue,(02) 6132 5800,-35.31303646,149.13325740,,
"Job Centre Australia specialise in empowering people with adisability, illness or health condition to improve their circumstances through a range of training, support and employment opportunities under DES (Disability Employment Service) and NDIS (National Disability Insurance Scheme). We have over35 regional and metropolitan sites in NSW and QLD.",Job Centre Australia,NSW,2594,A290,DESB,3,,,,All Job Seekers,YOUNG,2B Campbell Street,(02) 6382 3222,-34.31470378,148.29436022,,
"Job Centre Australia specialise in empowering people with a disability, illness or health condition to improve their circumstances through a range of training, support and employment opportunities under DES (Disability Employment Service) and NDIS (National Disability Insurance Scheme). We have over 35 regional and metropolitan sites in NSW and QLD.",Job Centre Australia,NSW,2067,A340,DESB,3,,,,All Job Seekers,CHATSWOOD,Level 1 13 Spring Street,(02) 9413 1313,-33.79640109,151.18496351,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3121,A421,DESB,2,,,,All Job Seekers,RICHMOND,Level 2 585-587 Victoria Street,1300 360 562,-37.81095142,145.00617329,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3000,A431,DESB,3,,,,All Job Seekers,MELBOURNE,Level 8 190 Queen Street,(03) 8506 5970,-37.81402804,144.96067979,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3810,A441,DESB,5,,,,All Job Seekers,PAKENHAM,Shop 5 11 John Street,1300 360 562,-38.07672499,145.48296909,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3805,A451,DESB,2,,,,All Job Seekers,NARRE WARREN,Suite 12 26 Verdun Drive,1300 360 562,-38.02499779,145.31536605,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3977,A461,DESB,1,,,,All Job Seekers,CRANBOURNE,178 Sladen Street,1300 360 562,-38.11356769,145.28442766,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3171,A471,DESB,3,,,,All Job Seekers,SPRINGVALE,336-338 Springvale Rd,1300 360 562,-37.95665088,145.15100084,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3166,A481,DESB,2,,,,All Job Seekers,OAKLEIGH,Level 3 20 Atherton Rd,1300 360 562,-37.89888088,145.08940741,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3150,A491,DESB,2,,,,All Job Seekers,GLEN WAVERLEY,Suite 4 40 Montclair Avenue,1300 360 562,-37.88084362,145.16133660,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3175,A501,DESB,3,,,,All Job Seekers,DANDENONG,Level 1 237 Lonsdale Street,1300 360 562,-37.98797500,145.21395100,,
"Jobfind is a one-stop-shop for training and employment. Gain the skills you need with our state-of-the-art training and let our dedicated consultants promote YOU to prospective employers. We have helped over half a million people across Australia into employment and we can help you too.  This site provides full time services Mon-Fri, 9am-5pm",Jobfind Centres Australia Pty Ltd,VIC,3192,A511,DESB,2,,,,All Job Seekers,CHELTENHAM,Suite 1A 350 Charman Rd,1300 360 562,-37.96530413,145.05617335,,
