Program,Org Name,Site Location,State,Speciality Description,Star Rating,API_Place_Search,API_Place_Detail
DES-Employment Support Service,APM Employment Services,ABBOTSFORD,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.8105155, 'lng': 145.0022737}, 'viewport': {'northeast': {'lat': -37.80927257010728, 'lng': 145.0036062298928}, 'southwest': {'lat': -37.81197222989272, 'lng': 145.0009065701073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJkdKdSn1D1moR1_e0Lyb5H-A'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Ground Floor', 'short_name': 'Ground Floor', 'types': ['subpremise']}, {'long_name': '485', 'short_name': '485', 'types': ['street_number']}, {'long_name': 'Victoria Street', 'short_name': 'Victoria St', 'types': ['route']}, {'long_name': 'Abbotsford', 'short_name': 'Abbotsford', 'types': ['locality', 'political']}, {'long_name': 'City of Yarra', 'short_name': 'Yarra', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3067', 'short_name': '3067', 'types': ['postal_code']}], 'formatted_address': 'Ground Floor/485 Victoria St, Abbotsford VIC 3067, Australia', 'formatted_phone_number': '(03) 9428 8783', 'url': 'https://maps.google.com/?cid=16149900731178350551', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=abbotsford'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,AIRPORT WEST,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.7139126, 'lng': 144.8898472}, 'viewport': {'northeast': {'lat': -37.71246412010727, 'lng': 144.8913788798928}, 'southwest': {'lat': -37.71516377989272, 'lng': 144.8886792201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ4Siak0tb1moRcQ0cHrFFpiY'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Unit 3', 'short_name': 'Unit 3', 'types': ['subpremise']}, {'long_name': '101-103', 'short_name': '101-103', 'types': ['street_number']}, {'long_name': 'Matthews Avenue', 'short_name': 'Matthews Ave', 'types': ['route']}, {'long_name': 'Airport West', 'short_name': 'Airport West', 'types': ['locality', 'political']}, {'long_name': 'Moonee Valley City', 'short_name': 'Moonee Valley', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3042', 'short_name': '3042', 'types': ['postal_code']}], 'formatted_address': 'Unit 3/101-103 Matthews Ave, Airport West VIC 3042, Australia', 'formatted_phone_number': '(03) 9338 8153', 'url': 'https://maps.google.com/?cid=2784990046591913329', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=airport-west'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,ARARAT,VIC,Mental Health,4,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,APM Employment Services,ARARAT,VIC,All Client Types,4,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Disability Management Service,APM Employment Services,AVOCA,VIC,Mental Health,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.0887694, 'lng': 143.4746994}, 'viewport': {'northeast': {'lat': -37.08745277010728, 'lng': 143.4758669298927}, 'southwest': {'lat': -37.09015242989272, 'lng': 143.4731672701072}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJK67efzwB0WoRfha4XYPIzks'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Avoca Information Centre', 'short_name': 'Avoca Information Centre', 'types': ['point_of_interest', 'establishment']}, {'long_name': '122', 'short_name': '122', 'types': ['street_number']}, {'long_name': 'High Street', 'short_name': 'High St', 'types': ['route']}, {'long_name': 'Avoca', 'short_name': 'Avoca', 'types': ['locality', 'political']}, {'long_name': 'Pyrenees Shire', 'short_name': 'Pyrenees', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3467', 'short_name': '3467', 'types': ['postal_code']}], 'formatted_address': 'Avoca Information Centre, 122 High St, Avoca VIC 3467, Australia', 'formatted_phone_number': '(03) 5331 2002', 'url': 'https://maps.google.com/?cid=5462523864585606782', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=avoca'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,AVOCA,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.0887694, 'lng': 143.4746994}, 'viewport': {'northeast': {'lat': -37.08745277010728, 'lng': 143.4758669298927}, 'southwest': {'lat': -37.09015242989272, 'lng': 143.4731672701072}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJK67efzwB0WoRfha4XYPIzks'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Avoca Information Centre', 'short_name': 'Avoca Information Centre', 'types': ['point_of_interest', 'establishment']}, {'long_name': '122', 'short_name': '122', 'types': ['street_number']}, {'long_name': 'High Street', 'short_name': 'High St', 'types': ['route']}, {'long_name': 'Avoca', 'short_name': 'Avoca', 'types': ['locality', 'political']}, {'long_name': 'Pyrenees Shire', 'short_name': 'Pyrenees', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3467', 'short_name': '3467', 'types': ['postal_code']}], 'formatted_address': 'Avoca Information Centre, 122 High St, Avoca VIC 3467, Australia', 'formatted_phone_number': '(03) 5331 2002', 'url': 'https://maps.google.com/?cid=5462523864585606782', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=avoca'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,BAIRNSDALE,VIC,Mental Health,5,"[{'candidates': [{'geometry': {'location': {'lat': -37.8267867, 'lng': 147.6328198}, 'viewport': {'northeast': {'lat': -37.82551602010727, 'lng': 147.6341967298927}, 'southwest': {'lat': -37.82821567989272, 'lng': 147.6314970701073}}}, 'name': 'APM - ES', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJGyvSeNV_L2sRdq9bdA-UhvM'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '68a', 'short_name': '68a', 'types': ['street_number']}, {'long_name': 'Macleod Street', 'short_name': 'Macleod St', 'types': ['route']}, {'long_name': 'Bairnsdale', 'short_name': 'Bairnsdale', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3875', 'short_name': '3875', 'types': ['postal_code']}], 'formatted_address': '68a Macleod St, Bairnsdale VIC 3875, Australia', 'formatted_phone_number': '(03) 5152 6204', 'url': 'https://maps.google.com/?cid=17547875792193302390', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=bairnsdale-kes'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,BAIRNSDALE,VIC,All Client Types,5,"[{'candidates': [{'geometry': {'location': {'lat': -37.8267867, 'lng': 147.6328198}, 'viewport': {'northeast': {'lat': -37.82551602010727, 'lng': 147.6341967298927}, 'southwest': {'lat': -37.82821567989272, 'lng': 147.6314970701073}}}, 'name': 'APM - ES', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJGyvSeNV_L2sRdq9bdA-UhvM'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '68a', 'short_name': '68a', 'types': ['street_number']}, {'long_name': 'Macleod Street', 'short_name': 'Macleod St', 'types': ['route']}, {'long_name': 'Bairnsdale', 'short_name': 'Bairnsdale', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3875', 'short_name': '3875', 'types': ['postal_code']}], 'formatted_address': '68a Macleod St, Bairnsdale VIC 3875, Australia', 'formatted_phone_number': '(03) 5152 6204', 'url': 'https://maps.google.com/?cid=17547875792193302390', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=bairnsdale-kes'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,BALLAN,VIC,Mental Health,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.6003627, 'lng': 144.2244564}, 'viewport': {'northeast': {'lat': -37.59890522010728, 'lng': 144.2258060298927}, 'southwest': {'lat': -37.60160487989272, 'lng': 144.2231063701072}}}, 'name': 'APM', 'place_id': 'ChIJfePKduG31moRlme2obGf994'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '143', 'short_name': '143', 'types': ['street_number']}, {'long_name': 'Inglis Street', 'short_name': 'Inglis St', 'types': ['route']}, {'long_name': 'Ballan', 'short_name': 'Ballan', 'types': ['locality', 'political']}, {'long_name': 'Moorabool Shire', 'short_name': 'Moorabool', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3342', 'short_name': '3342', 'types': ['postal_code']}], 'formatted_address': '143 Inglis St, Ballan VIC 3342, Australia', 'formatted_phone_number': '(03) 5331 2002', 'url': 'https://maps.google.com/?cid=16066485780938647446', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=ballan'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,BALLAN,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.6003627, 'lng': 144.2244564}, 'viewport': {'northeast': {'lat': -37.59890522010728, 'lng': 144.2258060298927}, 'southwest': {'lat': -37.60160487989272, 'lng': 144.2231063701072}}}, 'name': 'APM', 'place_id': 'ChIJfePKduG31moRlme2obGf994'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '143', 'short_name': '143', 'types': ['street_number']}, {'long_name': 'Inglis Street', 'short_name': 'Inglis St', 'types': ['route']}, {'long_name': 'Ballan', 'short_name': 'Ballan', 'types': ['locality', 'political']}, {'long_name': 'Moorabool Shire', 'short_name': 'Moorabool', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3342', 'short_name': '3342', 'types': ['postal_code']}], 'formatted_address': '143 Inglis St, Ballan VIC 3342, Australia', 'formatted_phone_number': '(03) 5331 2002', 'url': 'https://maps.google.com/?cid=16066485780938647446', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=ballan'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,BALLARAT,VIC,Mental Health,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.5641217, 'lng': 143.8551124}, 'viewport': {'northeast': {'lat': -37.56267137010728, 'lng': 143.8564797298928}, 'southwest': {'lat': -37.56537102989272, 'lng': 143.8537800701073}}}, 'name': 'APM Ballarat', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ4Tr_jVVE0WoRPbApr0HqI54'}, {'geometry': {'location': {'lat': -37.56334349999999, 'lng': 143.8651438}, 'viewport': {'northeast': {'lat': -37.56201712010728, 'lng': 143.8664476298927}, 'southwest': {'lat': -37.56471677989272, 'lng': 143.8637479701073}}}, 'name': 'APM Employment Services', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJRTiHhf9E0WoRM7lclH5UHL0'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '305', 'short_name': '305', 'types': ['street_number']}, {'long_name': 'Dana Street', 'short_name': 'Dana St', 'types': ['route']}, {'long_name': 'Ballarat Central', 'short_name': 'Ballarat Central', 'types': ['locality', 'political']}, {'long_name': 'Ballarat City', 'short_name': 'Ballarat', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3350', 'short_name': '3350', 'types': ['postal_code']}], 'formatted_address': '305 Dana St, Ballarat Central VIC 3350, Australia', 'formatted_phone_number': '(03) 5331 2002', 'url': 'https://maps.google.com/?cid=11395209050010005565', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=ballarat'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,BALLARAT,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.5641217, 'lng': 143.8551124}, 'viewport': {'northeast': {'lat': -37.56267137010728, 'lng': 143.8564797298928}, 'southwest': {'lat': -37.56537102989272, 'lng': 143.8537800701073}}}, 'name': 'APM Ballarat', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ4Tr_jVVE0WoRPbApr0HqI54'}, {'geometry': {'location': {'lat': -37.56334349999999, 'lng': 143.8651438}, 'viewport': {'northeast': {'lat': -37.56201712010728, 'lng': 143.8664476298927}, 'southwest': {'lat': -37.56471677989272, 'lng': 143.8637479701073}}}, 'name': 'APM Employment Services', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJRTiHhf9E0WoRM7lclH5UHL0'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '305', 'short_name': '305', 'types': ['street_number']}, {'long_name': 'Dana Street', 'short_name': 'Dana St', 'types': ['route']}, {'long_name': 'Ballarat Central', 'short_name': 'Ballarat Central', 'types': ['locality', 'political']}, {'long_name': 'Ballarat City', 'short_name': 'Ballarat', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3350', 'short_name': '3350', 'types': ['postal_code']}], 'formatted_address': '305 Dana St, Ballarat Central VIC 3350, Australia', 'formatted_phone_number': '(03) 5331 2002', 'url': 'https://maps.google.com/?cid=11395209050010005565', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=ballarat'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,BEECHWORTH,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -36.3613177, 'lng': 146.6849914}, 'viewport': {'northeast': {'lat': -36.35989192010728, 'lng': 146.6862509798927}, 'southwest': {'lat': -36.36259157989272, 'lng': 146.6835513201073}}}, 'name': 'APM', 'place_id': 'ChIJ1QuDfvmxJmsRSMDPP2lBtBg'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '30', 'short_name': '30', 'types': ['street_number']}, {'long_name': 'Ford Street', 'short_name': 'Ford St', 'types': ['route']}, {'long_name': 'Beechworth', 'short_name': 'Beechworth', 'types': ['locality', 'political']}, {'long_name': 'Indigo Shire', 'short_name': 'Indigo', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3747', 'short_name': '3747', 'types': ['postal_code']}], 'formatted_address': '30 Ford St, Beechworth VIC 3747, Australia', 'formatted_phone_number': '(02) 6021 8740', 'url': 'https://maps.google.com/?cid=1780119673016139848', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=beechworth'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,BENALLA,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -36.549512, 'lng': 145.9827827}, 'viewport': {'northeast': {'lat': -36.54818717010728, 'lng': 145.9840047798927}, 'southwest': {'lat': -36.55088682989272, 'lng': 145.9813051201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJL94XHQMPJ2sRMgpvufm-lj4'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '39', 'short_name': '39', 'types': ['street_number']}, {'long_name': 'Nunn Street', 'short_name': 'Nunn St', 'types': ['route']}, {'long_name': 'Benalla', 'short_name': 'Benalla', 'types': ['locality', 'political']}, {'long_name': 'Benalla Rural City', 'short_name': 'Benalla', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3672', 'short_name': '3672', 'types': ['postal_code']}], 'formatted_address': '39 Nunn St, Benalla VIC 3672, Australia', 'formatted_phone_number': '(03) 5762 5793', 'url': 'https://maps.google.com/?cid=4510002056625326642', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=benalla'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,BENDIGO,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -36.7599401, 'lng': 144.2823746}, 'viewport': {'northeast': {'lat': -36.75859372010727, 'lng': 144.2836145298927}, 'southwest': {'lat': -36.76129337989272, 'lng': 144.2809148701073}}}, 'name': 'APM - DES', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ203VFNZZ12oRvQBQn12gfI8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '271', 'short_name': '271', 'types': ['street_number']}, {'long_name': 'Lyttleton Terrace', 'short_name': 'Lyttleton Terrace', 'types': ['route']}, {'long_name': 'Bendigo', 'short_name': 'Bendigo', 'types': ['locality', 'political']}, {'long_name': 'Greater Bendigo City', 'short_name': 'Greater Bendigo', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3550', 'short_name': '3550', 'types': ['postal_code']}], 'formatted_address': '271 Lyttleton Terrace, Bendigo VIC 3550, Australia', 'formatted_phone_number': '(03) 5441 8515', 'url': 'https://maps.google.com/?cid=10339315168501039293', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=bendigo'}, 'status': 'OK'}]"
