Year,Month,Referred,Suspended,Commenced,Total,Commenced_Employment,Commenced_Placement,Commenced_Ongoing
2011,7,8262,20983,116622,145867,76025,29438,11159
2011,8,8192,21852,116238,146282,74328,30795,11115
2011,9,8914,21310,117005,147229,71985,33261,11759
2011,10,8627,21855,117101,147583,71844,33425,11832
2011,11,8656,22728,117210,148594,70950,34402,11858
2011,12,9010,22714,116394,148118,70478,34001,11915
2012,1,9354,21344,117426,148124,73748,31253,11915
2012,2,9598,22278,117563,149439,72438,32682,11915
2012,3,9699,22464,116640,148803,71053,32317,13270
2012,4,9409,23085,116275,148769,71882,32317,13270
2012,5,9313,24493,115666,149472,72149,32317,13270
2012,6,8748,23662,115917,148327,73432,32317,13270
2012,7,9068,25205,115593,149866,73907,29505,12181
2012,8,9016,26231,116106,151353,74441,29584,12081
2012,9,9506,25978,116002,151486,74090,29643,12269
2012,10,9506,26707,115444,151657,74020,29158,12266
2012,11,9093,27346,115074,151513,73681,29268,12125
2012,12,9208,26423,114289,149920,74978,27651,11660
2013,1,9929,24699,114966,149594,78009,25218,11739
2013,2,10067,25353,114036,149456,77319,25435,11282
2013,3,13194,25523,111045,149762,75304,25275,10466
2013,4,10361,27002,112334,149697,76552,25027,10755
2013,5,9587,28239,112828,150654,76914,25075,10839
2013,6,9518,27303,112746,149567,76935,25168,10643
2013,7,8995,29422,111925,150342,75780,26032,10113
2013,8,9058,30103,111898,151059,75280,26656,9962
2013,9,8888,31263,111510,151661,73897,27589,10024
2013,10,8636,31774,112013,152423,74199,27684,10130
2013,11,8739,31775,112538,153052,74472,27742,10324
2013,12,8947,31531,112490,152968,75455,26949,10086
2014,1,9699,29283,115096,154078,79502,24863,10731
2014,2,9696,30550,115589,155835,78937,25812,10840
2014,3,10886,31446,114454,156786,76876,26744,10834
2014,4,9973,31826,115889,157688,78230,26573,11086
2014,5,9739,32260,116887,158886,78955,26720,11212
2014,6,9565,32731,116984,159280,77913,27771,11300
2014,7,9076,33408,118301,160785,78528,28781,10992
2014,8,9440,33800,119042,162282,78458,29542,11042
2014,9,9571,34951,118947,163469,76265,31474,11208
2014,10,9170,35248,119854,164272,77264,31312,11278
2014,11,9779,33906,121529,165214,78538,31723,11268
2014,12,11080,34455,120091,165626,78518,30503,11070
2015,1,13714,30985,122100,166799,82705,27438,11957
2015,2,22143,32136,114844,169123,75817,27049,11978
2015,3,12110,33987,124718,170815,83413,29213,12092
2015,4,11050,34761,125933,171744,84680,28859,12394
2015,5,10806,34438,127634,172878,86028,29130,12476
2015,6,10482,36348,126211,173041,84539,29238,12434
2015,7,11248,36856,125293,173397,83152,30010,12131
2015,8,12154,37979,123328,173461,81382,30105,11841
2015,9,10153,39765,123291,173209,80601,30675,12015
2015,10,9741,40530,123320,173591,80399,30893,12028
2015,11,9814,40848,123763,174425,80318,31338,12107
2015,12,10118,41419,123175,174712,80891,30678,11606
2016,1,10709,39936,125232,175877,84164,28787,12281
2016,2,10817,42075,125211,178103,83001,29928,12282
2016,3,11114,44937,123369,179420,79044,31674,12651
2016,4,10817,46592,123264,180673,79216,31265,12783
2016,5,11416,46895,123826,182137,80019,30794,13013
2016,6,11337,47120,124311,182768,80301,30612,13398
2016,7,10772,47424,124995,183191,81262,30718,13015
2016,8,10903,48486,124694,184083,80613,31141,12940
2016,9,11849,48740,124908,185497,80367,31386,13155
2016,10,12070,49313,126191,187574,81598,31404,13189
2016,11,11403,50652,126769,188824,81672,31893,13204
2016,12,11256,50493,126094,187843,82539,30936,12619
2017,1,11159,46310,128714,186183,86029,29239,13446
2017,2,12870,46691,126512,186073,83277,30096,13139
2017,3,12273,49444,124837,186554,79157,32144,13536
2017,4,11866,48780,125347,185993,80099,31529,13719
2017,5,11249,50473,124620,186342,78998,31824,13798
2017,6,10863,52714,123489,187066,76747,32509,14233
2017,7,10959,51543,125155,187657,78793,32438,13924
2017,8,10967,53273,125139,189379,78207,32940,13992
2017,9,11102,53997,125490,190589,78251,32711,14528
2017,10,11412,53292,126670,191374,79730,32209,14731
2017,11,11115,54137,127799,193051,80393,32724,14682
2017,12,11513,52537,128908,192958,83400,31597,13911
2018,1,12212,50513,131270,193995,86833,29464,14973
2018,2,11493,51765,131629,194887,86322,30266,15041
2018,3,10067,54389,130569,195025,84827,30739,15003
2018,4,10526,52344,131558,194428,86450,30077,15031
2018,5,10416,53012,130965,194393,87137,28967,14861
2018,6,9723,54108,129610,193441,90203,25296,14111
2018,7,14762,51735,131118,197615,91373,26567,13178
2018,8,12312,54299,134944,201555,93502,28564,12878
2018,9,11764,53885,139029,204678,95288,30772,12969
2018,10,11050,55199,142245,208494,96631,32731,12883
2018,11,10730,55507,145989,212226,98410,34752,12827
2018,12,11123,53041,149539,213703,102315,35818,11406
