Year,Month,Referred,Suspended,Commenced,Total,Commenced_Employment,Commenced_Placement,Commenced_Ongoing,MOM,Direction,Referred%,Suspended%,Commenced%,Commenced_Employment%,Commenced_Placement%,Commenced_Ongoing%,Year-Month
2011,July,"8,262","20,983","116,622","145,867","76,025","29,438","11,159",0.0,,6.0,14.0,80.0,65.0,25.0,10.0,2011-07-01
2011,August,"8,192","21,852","116,238","146,282","74,328","30,795","11,115",0.28,Increased,6.0,15.0,79.0,64.0,26.0,10.0,2011-08-01
2011,September,"8,914","21,310","117,005","147,229","71,985","33,261","11,759",0.65,Increased,6.0,14.0,79.0,62.0,28.0,10.0,2011-09-01
2011,October,"8,627","21,855","117,101","147,583","71,844","33,425","11,832",0.24,Increased,6.0,15.0,79.0,61.0,29.0,10.0,2011-10-01
2011,November,"8,656","22,728","117,210","148,594","70,950","34,402","11,858",0.69,Increased,6.0,15.0,79.0,61.0,29.0,10.0,2011-11-01
2011,December,"9,010","22,714","116,394","148,118","70,478","34,001","11,915",-0.32,Decreased,6.0,15.0,79.0,61.0,29.0,10.0,2011-12-01
2012,January,"9,354","21,344","117,426","148,124","73,748","31,253","11,915",0.0,,6.0,14.0,79.0,63.0,27.0,10.0,2012-01-01
2012,February,"9,598","22,278","117,563","149,439","72,438","32,682","11,915",0.89,Increased,6.0,15.0,79.0,62.0,28.0,10.0,2012-02-01
2012,March,"9,699","22,464","116,640","148,803","71,053","32,317","13,270",-0.43,Decreased,7.0,15.0,78.0,61.0,28.0,11.0,2012-03-01
2012,April,"9,409","23,085","116,275","148,769","71,882","32,317","13,270",-0.02,Decreased,6.0,16.0,78.0,62.0,28.0,11.0,2012-04-01
2012,May,"9,313","24,493","115,666","149,472","72,149","32,317","13,270",0.47,Increased,6.0,16.0,77.0,62.0,28.0,11.0,2012-05-01
2012,June,"8,748","23,662","115,917","148,327","73,432","32,317","13,270",-0.77,Decreased,6.0,16.0,78.0,63.0,28.0,11.0,2012-06-01
2012,July,"9,068","25,205","115,593","149,866","73,907","29,505","12,181",1.04,Increased,6.0,17.0,77.0,64.0,26.0,11.0,2012-07-01
2012,August,"9,016","26,231","116,106","151,353","74,441","29,584","12,081",0.99,Increased,6.0,17.0,77.0,64.0,25.0,10.0,2012-08-01
2012,September,"9,506","25,978","116,002","151,486","74,090","29,643","12,269",0.09,Increased,6.0,17.0,77.0,64.0,26.0,11.0,2012-09-01
2012,October,"9,506","26,707","115,444","151,657","74,020","29,158","12,266",0.11,Increased,6.0,18.0,76.0,64.0,25.0,11.0,2012-10-01
2012,November,"9,093","27,346","115,074","151,513","73,681","29,268","12,125",-0.09,Decreased,6.0,18.0,76.0,64.0,25.0,11.0,2012-11-01
2012,December,"9,208","26,423","114,289","149,920","74,978","27,651","11,660",-1.05,Decreased,6.0,18.0,76.0,66.0,24.0,10.0,2012-12-01
2013,January,"9,929","24,699","114,966","149,594","78,009","25,218","11,739",-0.22,Decreased,7.0,17.0,77.0,68.0,22.0,10.0,2013-01-01
2013,February,"10,067","25,353","114,036","149,456","77,319","25,435","11,282",-0.09,Decreased,7.0,17.0,76.0,68.0,22.0,10.0,2013-02-01
2013,March,"13,194","25,523","111,045","149,762","75,304","25,275","10,466",0.2,Increased,9.0,17.0,74.0,68.0,23.0,9.0,2013-03-01
2013,April,"10,361","27,002","112,334","149,697","76,552","25,027","10,755",-0.04,Decreased,7.0,18.0,75.0,68.0,22.0,10.0,2013-04-01
2013,May,"9,587","28,239","112,828","150,654","76,914","25,075","10,839",0.64,Increased,6.0,19.0,75.0,68.0,22.0,10.0,2013-05-01
2013,June,"9,518","27,303","112,746","149,567","76,935","25,168","10,643",-0.72,Decreased,6.0,18.0,75.0,68.0,22.0,9.0,2013-06-01
2013,July,"8,995","29,422","111,925","150,342","75,780","26,032","10,113",0.52,Increased,6.0,20.0,74.0,68.0,23.0,9.0,2013-07-01
2013,August,"9,058","30,103","111,898","151,059","75,280","26,656","9,962",0.48,Increased,6.0,20.0,74.0,67.0,24.0,9.0,2013-08-01
2013,September,"8,888","31,263","111,510","151,661","73,897","27,589","10,024",0.4,Increased,6.0,21.0,74.0,66.0,25.0,9.0,2013-09-01
2013,October,"8,636","31,774","112,013","152,423","74,199","27,684","10,130",0.5,Increased,6.0,21.0,73.0,66.0,25.0,9.0,2013-10-01
2013,November,"8,739","31,775","112,538","153,052","74,472","27,742","10,324",0.41,Increased,6.0,21.0,74.0,66.0,25.0,9.0,2013-11-01
2013,December,"8,947","31,531","112,490","152,968","75,455","26,949","10,086",-0.05,Decreased,6.0,21.0,74.0,67.0,24.0,9.0,2013-12-01
